id,naslov,število epizod,status,sezona premiere,leto premiere,vir,dolzina epizode v minutah,oznaka,ocena,člani,favoritizacije,demografika,teme,žanri,studii,povezani vnosi,glavni liki
45959,Long Taizi: Yinhe Da Maoxian,50,Finished Airing,Spring,2011,Original,13,PG - Children,N/A,94,0,Kids,[],"['Fantasy', 'Sci-Fi']",[],"[('45958', 'Long Taizi'), ('45960', 'Long Taizi: Yanre Xingqiu Zhi Mi')]",[]
46958,Xiangshu Canting,26,Finished Airing,Spring,2011,Original,10,PG - Children,N/A,81,0,Kids,['Anthropomorphic'],['Fantasy'],[],[],[]
10162,Usagi Drop,11,Finished Airing,Summer,2011,Manga,22,PG-13 - Teens 13 or older,8.34,499774,5970,Josei,"['Childcare', 'Iyashikei']",['Slice of Life'],"[('10', 'Production I.G')]",[],"[('12669', 'Kaga, Rin', 'Main'), ('12668', 'Kawachi, Daikichi', 'Main'), ('27115', 'Nitani, Yukari', 'Supporting'), ('40059', 'Nitani, Kouki', 'Supporting'), ('40054', 'Yoshii, Masako', 'Supporting'), ('44159', 'Kawachi, Kazumi', 'Supporting'), ('44791', 'Gotou', 'Supporting'), ('47921', 'Mi-chan', 'Supporting'), ('44793', 'Kawachi, Kenji', 'Supporting'), ('42963', 'Maeda, Haruko', 'Supporting')]"
10110,Mayo Chiki!,13,Finished Airing,Summer,2011,Light n,24,R+ - Mild Nudity,7.22,498457,1893,NG,"['Crossdressing', 'Harem', 'School']","['Comedy', 'Romance', 'Ecchi']","[('91', 'feel.')]",[],"[('41374', 'Konoe, Subaru', 'Main'), ('41376', 'Suzutsuki, Kanade', 'Main'), ('41377', 'Sakamachi, Kinjirou', 'Main'), ('41375', 'Usami, Masamune', 'Supporting'), ('41379', 'Narumi, Nakuru', 'Supporting'), ('41378', 'Sakamachi, Kureha', 'Supporting'), ('43641', 'Konoe, Nagare', 'Supporting'), ('43640', 'Saotome, Ichigo', 'Supporting'), ('43638', 'Kurose, Yamato', 'Supporting'), ('44827', 'Sakamachi, Jirou', 'Supporting')]"
10161,No.6,11,Finished Airing,Summer,2011,Novel,23,R - 17+ (violence &amp; profanity),7.56,439936,7410,NG,[],"['Action', 'Drama', 'Mystery', 'Sci-Fi']","[('4', 'Bones')]",[],"[('41182', 'Nezumi', 'Main'), ('42307', 'Shion', 'Main'), ('43635', 'Inukashi', 'Supporting'), ('43637', 'Safu', 'Supporting'), ('44174', 'Karan', 'Supporting'), ('44175', 'Safu&#039;s Grandmother', 'Supporting'), ('44173', 'Lili', 'Supporting'), ('43634', 'Youming', 'Supporting'), ('43636', 'Rikiga', 'Supporting'), ('159342', 'Old Man', 'Supporting')]"
10490,Blood-C,12,Finished Airing,Summer,2011,Original,23,R - 17+ (violence &amp; profanity),6.53,375379,1203,NG,"['Gore', 'School', 'Vampire']","['Action', 'Horror', 'Mystery', 'Supernatural']","[('10', 'Production I.G')]",[],"[('41966', 'Kisaragi, Saya', 'Main'), ('42661', 'Nanahara, Fumito', 'Supporting'), ('46585', 'Dog', 'Supporting'), ('42663', 'Motoe, Nene', 'Supporting'), ('42666', 'Tokizane, Shinichirou', 'Supporting'), ('42664', 'Motoe, Nono', 'Supporting'), ('42662', 'Amino, Yuuka', 'Supporting'), ('42660', 'Kisaragi, Tadayoshi', 'Supporting'), ('42665', 'Tomofusa, Itsuki', 'Supporting'), ('42667', 'Tsutsutori, Kanako', 'Supporting')]"
8516,Baka to Test to Shoukanjuu Ni!,13,Finished Airing,Summer,2011,Light n,24,PG-13 - Teens 13 or older,7.67,373289,1198,NG,"['Love Polygon', 'School', 'Super Power']","['Comedy', 'Romance']","[('300', 'SILVER LINK.')]",[],"[('20181', 'Kinoshita, Hideyoshi', 'Main'), ('27362', 'Yoshii, Akihisa', 'Main'), ('29404', 'Tsuchiya, Kouta', 'Main'), ('29563', 'Shimada, Minami', 'Main'), ('29560', 'Kirishima, Shouko', 'Main'), ('27363', 'Himeji, Mizuki', 'Main'), ('29607', 'Sakamoto, Yuuji', 'Main'), ('29562', 'Kinoshita, Yuuko', 'Supporting'), ('29561', 'Kudou, Aiko', 'Supporting'), ('30810', 'Yoshii, Akira', 'Supporting')]"
10495,Yuru Yuri,12,Finished Airing,Summer,2011,Manga,23,PG-13 - Teens 13 or older,7.56,339963,4487,NG,"['CGDCT', 'Gag Humor', 'School']","['Award Winning', 'Comedy', 'Girls Love']","[('95', 'Doga Kobo')]","[('12403', 'Yuru Yuri♪♪')]","[('35871', 'Toshinou, Kyouko', 'Main'), ('35872', 'Akaza, Akari', 'Main'), ('35874', 'Funami, Yui', 'Main'), ('35875', 'Yoshikawa, Chinatsu', 'Main'), ('35876', 'Sugiura, Ayano', 'Supporting'), ('35878', 'Oomuro, Sakurako', 'Supporting'), ('35877', 'Ikeda, Chitose', 'Supporting'), ('35879', 'Furutani, Himawari', 'Supporting'), ('45531', 'Matsumoto, Rise', 'Supporting'), ('47595', 'Funami, Mari', 'Supporting')]"
10721,Mawaru Penguindrum,24,Finished Airing,Summer,2011,Original,24,R - 17+ (violence &amp; profanity),7.93,302732,7262,NG,['Psychological'],"['Avant Garde', 'Drama', 'Mystery', 'Supernatural', 'Suspense']","[('112', 'Brain&#039;s Base')]",[],"[('43385', 'Oginome, Ringo', 'Main'), ('43009', 'Takakura, Himari', 'Main'), ('43335', 'Takakura, Shouma', 'Main'), ('43334', 'Takakura, Kanba', 'Main'), ('47809', 'Watase, Sanetoshi', 'Supporting'), ('45833', 'Penguin 2', 'Supporting'), ('45831', 'Penguin 1', 'Supporting'), ('45835', 'Penguin 3', 'Supporting'), ('44218', 'Natsume, Masako', 'Supporting'), ('49853', 'Oginome, Momoka', 'Supporting')]"
10379,Natsume Yuujinchou San,13,Finished Airing,Summer,2011,Manga,24,PG-13 - Teens 13 or older,8.57,255109,1428,Shoujo,"['Iyashikei', 'Mythology']","['Slice of Life', 'Supernatural']","[('112', 'Brain&#039;s Base')]","[('5300', 'Zoku Natsume Yuujinchou'), ('11665', 'Natsume Yuujinchou Shi')]","[('13783', 'Natsume, Takashi', 'Main'), ('13784', 'Madara', 'Main'), ('13886', 'Natsume, Reiko', 'Supporting'), ('13888', 'Tanuma, Kaname', 'Supporting'), ('13887', 'Natori, Shuuichi', 'Supporting'), ('31303', 'Matoba, Seiji', 'Supporting'), ('15446', 'Kogitsune', 'Supporting'), ('19515', 'Taki, Tooru', 'Supporting'), ('19455', 'Hinoe', 'Supporting'), ('19546', 'Fujiwara, Touko', 'Supporting')]"
