id_lika,ime,favoritizacije_lika
123567,Titicaca,1
227465,Sunfun,0
227466,Azteco&#039;s Father,0
227467,Azteco&#039;s Mother,0
123577,Innes,0
227468,Lily,0
123573,Anita,0
123565,Kui,0
123569,Aztec,0
34741,Laura Ingalls,0
48771,Mary Ingalls,0
125585,Kum-Kum,0
125588,Roman,0
125587,Furu-Furu,0
125586,Chiru-Chiru,0
125584,Aaron,0
125583,Paru-Paru,0
4381,Marco Rossi,24
4385,Amedio,7
4386,Fiorina Peppino,5
90627,Federico,2
4388,Emilio,2
4383,Antonio Rossi,1
4384,Pietro Rossi,1
4382,Anna Rossi,1
4387,Giulietta Peppino,1
90637,Leonardo,0
9487,Huckleberry Finn,15
9485,Tom Sawyer,15
121763,Jim,1
224295,Charlotte,0
62915,Hyouma Aoi,2
170235,Professor Yotsuya,0
62921,Kosuke Kita,0
62917,Juuzou Naniwa,0
28973,Chizuru Nanbara,0
62919,Daisaku Nisikawa,0
62925,Garuda,2
170234,Doctor Nanbara,0
62931,Dungele,0
62927,Miia,0
86125,Sanshirou Tsuwabuki,3
147901,Professor Daimonji,0
144825,Hachirou,0
154600,Midori Fujiyama,0
155408,Yamagatake,0
161947,Pete Richardson,0
137628,Bunta Hayami,0
72897,Desmont,0
59077,Li Fan,0
72887,Asimov,0
40255,Piccolino,4
77831,Takeshi,1
77837,Goro,1
77833,Matsuo,0
77835,Miki,0
157662,Dazan Soutou,1
157660,General Joket,0
157661,Balai,0
157659,Qeen Apolon,0
157664,Enchou-sensei,0
139112,Narrator,0
130786,Gou Tsunami,0
130784,Youko Misaki,0
130783,Goemon Koishikawa,0
130779,Daikichi Kameyama,0
130776,Norisuke Kawaguchi,0
130785,Sentarou Shima,0
130787,Emperor Jigokuda,0
130788,Arafune,0
130782,Shougun Maguda,0
130781,Father Daikichi,0
123960,Ken Hayabusa,0
123958,Dr. Saionji,0
123959,Gorou Mutsu,0
123957,Sakura Saionji,0
123956,Hiroshi Kamikaze,0
123955,Tetsuo Iwata,0
123954,Shingo Yamato,0
90183,Cat Eyed Boy,13
157161,Rita Yan,0
157160,Joe Kaisaka,0
150871,Hideki Asuka,0
5459,Candice White Adley (Candy Candy,187
13906,Terrence G. Grandchester,104
9069,Anthony Brown (Candy Candy,25
24405,Albert (Candy Candy,24
122275,Kurin,9
13908,Alistair Cornwell (Candy Candy,27
9068,Annie Brighton (Candy Candy,2
13907,Archibald Cornwell (Candy Candy,2
34398,Susanna Marlowe,1
13944,Neil Leagan (Candy Candy,1
9423,Mai Kazuki,0
9422,Takeru Houjou,0
9424,Mamoru Kazuki,1
127678,Mine Hakase,0
