id,zanr
3159,Romance
4242,Action
4242,Adventure
1088,Action
1088,Romance
1088,Sci-Fi
2451,Action
2451,Adventure
2451,Sci-Fi
3125,Comedy
3125,Fantasy
3125,Romance
2203,Action
2203,Adventure
2203,Drama
2203,Sci-Fi
8373,Adventure
8373,Comedy
3806,Adventure
3806,Comedy
3806,Romance
3806,Sports
8285,Action
8285,Adventure
8285,Sci-Fi
7956,Comedy
7956,Sci-Fi
21491,Action
21491,Comedy
21491,Slice of Life
929,Action
929,Adventure
929,Drama
929,Fantasy
929,Sci-Fi
2546,Drama
2546,Slice of Life
2933,Action
2933,Comedy
2933,Sci-Fi
6452,Action
6452,Sci-Fi
2582,Action
2582,Drama
2582,Sci-Fi
3272,Comedy
3272,Sports
3332,Comedy
2542,Drama
2542,Romance
2221,Comedy
2221,Romance
2231,Romance
11595,Comedy
3619,Comedy
3619,Romance
5891,Action
4244,Action
4244,Adventure
3936,Adventure
3936,Sci-Fi
3436,Adventure
3436,Sci-Fi
17687,Adventure
17687,Fantasy
2043,Action
2043,Adventure
2043,Comedy
2043,Mystery
2043,Romance
2044,Comedy
2044,Fantasy
2044,Romance
2044,Sci-Fi
2089,Action
2089,Adventure
2089,Romance
2089,Sci-Fi
1873,Action
1873,Adventure
1873,Sci-Fi
6428,Action
6428,Sci-Fi
2116,Sports
2762,Action
2762,Adventure
2762,Comedy
2762,Romance
3670,Action
2987,Action
2987,Adventure
2987,Sci-Fi
2572,Adventure
2572,Fantasy
5143,Action
5143,Sci-Fi
2568,Drama
2578,Adventure
2578,Comedy
2578,Fantasy
2598,Action
2598,Adventure
2598,Drama
2598,Sci-Fi
2579,Adventure
2579,Romance
3162,Adventure
3162,Drama
3162,Slice of Life
3021,Action
3021,Comedy
3021,Romance
6636,Action
6636,Sci-Fi
8799,Action
8799,Adventure
8799,Sci-Fi
5600,Adventure
34510,Action
34510,Adventure
34510,Comedy
1426,Action
1426,Adventure
1426,Comedy
506,Drama
506,Romance
4503,Action
4503,Drama
4503,Sci-Fi
3081,Romance
3081,Sports
3327,Action
3327,Adventure
3327,Sci-Fi
3754,Fantasy
5250,Action
5250,Fantasy
6672,Action
6672,Sci-Fi
3020,Comedy
3020,Slice of Life
3723,Comedy
16303,Comedy
16303,Sci-Fi
16526,Comedy
10136,Adventure
10136,Comedy
2039,Comedy
967,Action
967,Drama
967,Sci-Fi
1972,Action
1972,Adventure
1972,Comedy
1972,Mystery
2361,Action
2361,Adventure
2361,Sci-Fi
5153,Action
5153,Fantasy
5153,Sci-Fi
7160,Action
7160,Comedy
7160,Mystery
2769,Action
2769,Adventure
2769,Sci-Fi
8853,Action
8853,Adventure
8853,Comedy
8853,Sci-Fi
3131,Sports
8130,Adventure
8130,Comedy
8130,Sci-Fi
2226,Fantasy
85,Action
85,Drama
85,Romance
85,Sci-Fi
1065,Drama
1065,Romance
1065,Sports
2255,Action
2255,Sci-Fi
3807,Drama
3807,Romance
4062,Sports
3022,Action
3022,Romance
3022,Sci-Fi
3434,Adventure
2805,Comedy
2805,Fantasy
2805,Slice of Life
7981,Comedy
7981,Slice of Life
7981,Supernatural
424,Adventure
424,Comedy
424,Sci-Fi
2038,Comedy
2038,Slice of Life
3079,Sci-Fi
3059,Action
3059,Adventure
3059,Sci-Fi
714,Comedy
714,Romance
7307,Comedy
7307,Supernatural
17211,Comedy
223,Action
223,Adventure
223,Comedy
223,Fantasy
2554,Drama
2554,Slice of Life
2223,Fantasy
2223,Slice of Life
3317,Adventure
3317,Sci-Fi
1453,Comedy
1453,Drama
1453,Romance
86,Action
86,Comedy
86,Drama
86,Sci-Fi
589,Action
589,Adventure
589,Drama
2224,Romance
2224,Sports
3660,Comedy
3660,Fantasy
4723,Drama
4723,Romance
4083,Action
4083,Sci-Fi
3433,Sci-Fi
3433,Sports
6731,Comedy
10137,Adventure
1254,Action
1254,Adventure
1254,Fantasy
1254,Sci-Fi
3053,Sports
2826,Adventure
2826,Fantasy
3460,Adventure
3460,Fantasy
27693,Romance
6093,Comedy
7575,Comedy
7575,Drama
7575,Romance
10210,Adventure
10210,Comedy
6771,Adventure
6771,Fantasy
2548,Drama
2548,Slice of Life
865,Adventure
865,Sci-Fi
1470,Action
1470,Comedy
1470,Mystery
1087,Comedy
1087,Drama
1087,Romance
1356,Action
1356,Drama
1356,Sci-Fi
2688,Action
2688,Adventure
2688,Sci-Fi
729,Comedy
729,Romance
729,Sports
3023,Comedy
3023,Supernatural
3023,Ecchi
10250,Comedy
2815,Comedy
20117,Comedy
20117,Slice of Life
925,Action
925,Adventure
925,Sci-Fi
16131,Action
16131,Sci-Fi
28019,Action
28019,Mystery
2227,Drama
2333,Adventure
2333,Drama
2333,Romance
4060,Adventure
4060,Comedy
4060,Fantasy
3437,Comedy
3437,Gourmet
3205,Ecchi
4024,Adventure
4024,Fantasy
13769,Action
13769,Fantasy
3909,Comedy
3909,Fantasy
6917,Comedy
11873,Comedy
16393,Comedy
16393,Mystery
10709,Drama
10709,Slice of Life
17088,Adventure
2903,Action
2903,Comedy
9883,Comedy
2555,Drama
2555,Slice of Life
3259,Ecchi
4427,Action
4427,Adventure
1471,Action
1471,Comedy
1471,Mystery
1264,Adventure
1264,Sci-Fi
6509,Comedy
6509,Drama
2405,Drama
3035,Action
3035,Sci-Fi
924,Action
924,Adventure
924,Sci-Fi
3837,Action
3837,Adventure
3837,Comedy
3837,Sci-Fi
5830,Comedy
4584,Adventure
4584,Comedy
6067,Action
6067,Adventure
6067,Comedy
2814,Comedy
12039,Comedy
19121,Comedy
19121,Ecchi
30028,Adventure
30028,Fantasy
30028,Supernatural
19965,Adventure
19965,Fantasy
17315,Sports
30027,Adventure
30027,Fantasy
30027,Supernatural
4663,Action
4663,Adventure
3264,Ecchi
17092,Sports
1093,Comedy
1093,Gourmet
1093,Slice of Life
1960,Comedy
1960,Fantasy
4061,Adventure
4061,Comedy
4061,Fantasy
2467,Adventure
3838,Comedy
3838,Fantasy
5534,Romance
5534,Slice of Life
4616,Adventure
4616,Comedy
1638,Adventure
1638,Fantasy
5908,Comedy
20075,Comedy
813,Action
813,Adventure
813,Comedy
813,Fantasy
210,Action
210,Comedy
210,Fantasy
210,Ecchi
2113,Action
2113,Fantasy
2813,Adventure
2813,Comedy
2813,Drama
2813,Fantasy
926,Action
926,Adventure
926,Sci-Fi
2818,Action
2818,Comedy
2818,Fantasy
2818,Sci-Fi
4119,Action
4119,Sci-Fi
8194,Adventure
8194,Fantasy
8194,Horror
8194,Supernatural
3631,Adventure
3631,Fantasy
5273,Sports
9885,Comedy
9885,Fantasy
8140,Adventure
8140,Comedy
8140,Drama
25717,Adventure
25717,Fantasy
324,Action
324,Comedy
324,Sci-Fi
691,Comedy
691,Romance
691,Sports
1472,Action
1472,Comedy
1472,Mystery
2569,Adventure
2569,Drama
3077,Comedy
3077,Drama
3077,Supernatural
2556,Adventure
2556,Drama
2820,Action
2820,Adventure
2820,Comedy
3116,Sports
2679,Comedy
2679,Sci-Fi
3875,Comedy
7845,Adventure
7845,Fantasy
11533,Adventure
11533,Comedy
7605,Adventure
7605,Comedy
7605,Fantasy
20127,Comedy
20127,Slice of Life
15915,Adventure
15915,Comedy
15915,Fantasy
23829,Comedy
23829,Sci-Fi
7419,Action
7419,Adventure
7419,Comedy
7419,Fantasy
7419,Sci-Fi
1375,Comedy
1375,Romance
1261,Action
1261,Comedy
1261,Sci-Fi
951,Comedy
2819,Action
2819,Adventure
2819,Fantasy
3325,Action
3325,Sci-Fi
19961,Comedy
19961,Slice of Life
9175,Comedy
9175,Slice of Life
1251,Adventure
1251,Comedy
1251,Romance
1251,Sci-Fi
2150,Adventure
2150,Fantasy
2150,Slice of Life
2084,Action
2084,Adventure
2084,Comedy
2084,Fantasy
2040,Fantasy
4928,Comedy
4928,Drama
4807,Action
4807,Adventure
4807,Comedy
20243,Comedy
20243,Slice of Life
12391,Comedy
12391,Slice of Life
2543,Adventure
2543,Romance
2243,Action
2243,Adventure
2243,Drama
5274,Adventure
5274,Comedy
5274,Fantasy
5274,Ecchi
3765,Adventure
3765,Fantasy
5249,Adventure
9061,Adventure
9061,Fantasy
8065,Action
8065,Adventure
11545,Drama
9028,Comedy
9028,Sports
21483,Comedy
21483,Slice of Life
2557,Drama
2557,Romance
4532,Action
4532,Sci-Fi
727,Comedy
2570,Comedy
2570,Slice of Life
5292,Action
5292,Adventure
3194,Drama
3194,Fantasy
3194,Romance
4504,Action
4504,Adventure
4504,Comedy
4504,Sci-Fi
19831,Comedy
1473,Action
1473,Comedy
1473,Mystery
1391,Adventure
1391,Sci-Fi
2810,Drama
1897,Adventure
1897,Sci-Fi
310,Comedy
310,Supernatural
9882,Horror
9882,Mystery
3315,Action
3315,Sci-Fi
5628,Comedy
5628,Sci-Fi
7405,Adventure
8829,Comedy
8829,Slice of Life
24663,Comedy
24663,Slice of Life
24663,Supernatural
25139,Comedy
25139,Gourmet
25139,Slice of Life
30118,Slice of Life
30026,Comedy
2229,Action
2229,Adventure
2229,Fantasy
5712,Adventure
5712,Fantasy
5712,Slice of Life
970,Action
970,Adventure
2228,Comedy
2228,Sports
3438,Sports
3281,Comedy
3281,Sports
8215,Action
8215,Comedy
8215,Sci-Fi
3691,Slice of Life
6674,Comedy
6674,Mystery
19873,Comedy
19873,Sci-Fi
1459,Action
1459,Adventure
1459,Drama
1459,Romance
1459,Sci-Fi
333,Award Winning
333,Comedy
333,Drama
333,Sci-Fi
2803,Action
2803,Sci-Fi
2804,Adventure
2804,Fantasy
2913,Adventure
2913,Drama
530,Fantasy
530,Romance
966,Comedy
966,Ecchi
8123,Comedy
8123,Gourmet
3874,Sports
8216,Sports
10319,Action
10319,Adventure
10319,Sci-Fi
5201,Adventure
5201,Comedy
4468,Adventure
4468,Fantasy
9119,Slice of Life
8415,Adventure
8415,Drama
6583,Adventure
6583,Comedy
6583,Fantasy
6583,Sci-Fi
12771,Comedy
12771,Slice of Life
27681,Comedy
27681,Slice of Life
14623,Action
14623,Comedy
14623,Sci-Fi
27965,Adventure
27965,Fantasy
2806,Adventure
2806,Comedy
2806,Fantasy
392,Action
392,Fantasy
2037,Comedy
2037,Fantasy
2037,Romance
3110,Drama
3345,Fantasy
3345,Slice of Life
5992,Comedy
5992,Drama
5992,Romance
5992,Slice of Life
2624,Drama
7004,Comedy
2783,Adventure
2783,Fantasy
2503,Adventure
2503,Comedy
3132,Adventure
6981,Comedy
19585,Comedy
19585,Slice of Life
8832,Comedy
8832,Slice of Life
3451,Adventure
3451,Sci-Fi
569,Comedy
569,Sci-Fi
2558,Drama
2558,Slice of Life
2834,Fantasy
2834,Romance
740,Fantasy
740,Romance
89,Action
89,Drama
89,Sci-Fi
2400,Comedy
2400,Supernatural
2335,Action
2335,Comedy
2335,Fantasy
1199,Comedy
5197,Adventure
5197,Comedy
5197,Fantasy
5197,Sports
5395,Action
5395,Sci-Fi
2758,Sci-Fi
2758,Sports
6779,Comedy
6779,Fantasy
170,Sports
1327,Romance
1327,Sports
3418,Action
3418,Comedy
4086,Adventure
4086,Comedy
3202,Fantasy
2749,Adventure
2749,Comedy
4599,Fantasy
103,Adventure
103,Comedy
103,Fantasy
103,Romance
3199,Adventure
3199,Slice of Life
5075,Action
5075,Adventure
5075,Sci-Fi
532,Fantasy
532,Romance
96,Action
96,Drama
96,Romance
96,Sci-Fi
334,Comedy
334,Drama
334,Romance
3907,Adventure
3907,Romance
3907,Sci-Fi
2283,Sci-Fi
2283,Sports
3809,Adventure
3809,Fantasy
3809,Romance
3672,Comedy
3672,Sci-Fi
1848,Action
1848,Adventure
1848,Fantasy
4773,Action
4773,Adventure
4773,Fantasy
4773,Sci-Fi
2771,Comedy
2771,Romance
4023,Fantasy
5217,Sports
3313,Adventure
3313,Comedy
3313,Mystery
4025,Adventure
4025,Fantasy
4470,Action
4470,Adventure
4470,Fantasy
4470,Sci-Fi
10774,Sports
7448,Comedy
17624,Adventure
17624,Comedy
17624,Sci-Fi
1175,Comedy
1175,Sci-Fi
1175,Sports
6472,Horror
435,Action
435,Adventure
435,Comedy
435,Drama
435,Fantasy
563,Comedy
563,Romance
563,Sci-Fi
1397,Action
1397,Adventure
1397,Comedy
1397,Drama
1397,Romance
1397,Sci-Fi
998,Action
998,Adventure
998,Drama
998,Horror
998,Mystery
998,Romance
998,Supernatural
1674,Sports
331,Adventure
331,Comedy
331,Fantasy
2041,Comedy
2041,Fantasy
2041,Romance
12393,Comedy
12393,Slice of Life
22313,Action
20603,Comedy
2559,Adventure
2559,Drama
1573,Action
1573,Comedy
1573,Drama
1573,Fantasy
1573,Horror
912,Adventure
6149,Comedy
5440,Action
5440,Adventure
5440,Fantasy
5440,Sci-Fi
2980,Action
2980,Adventure
2980,Fantasy
90,Action
90,Drama
90,Sci-Fi
534,Action
534,Adventure
534,Comedy
534,Fantasy
1239,Fantasy
1239,Romance
123,Action
123,Adventure
123,Fantasy
123,Romance
696,Comedy
696,Romance
696,Sci-Fi
1563,Action
1563,Adventure
1563,Drama
1563,Fantasy
1563,Romance
876,Action
876,Adventure
876,Drama
876,Mystery
